2025-04-20 17:24:28.418 | ERROR    | extractor.consumer:worker:139 - [ERROR at ATTEMPT 2/3] Worker 7 | Text: this afforded the festival more room for camping, and an increased space for entertainment. | Got error: Trigger word 'abc' not found in text this afforded the festival more room for camping, and an increased space for entertainment..
2025-04-20 17:24:28.762 | ERROR    | extractor.consumer:worker:139 - [ERROR at ATTEMPT 2/3] Worker 8 | Text: the ` ` eastern theater of eelam war iv ' ', the warfare started in the eastern province of sri lanka on july 21, 2006, when the ltte cut off the water supply to the rice fields in the mavil aru area in the eastern trincomalee district. | Got error: Trigger word 'abc' not found in text the ` ` eastern theater of eelam war iv ' ', the warfare started in the eastern province of sri lanka on july 21, 2006, when the ltte cut off the water supply to the rice fields in the mavil aru area in the eastern trincomalee district..
2025-04-20 17:24:28.764 | ERROR    | extractor.consumer:worker:139 - [ERROR at ATTEMPT 3/3] Worker 6 | Text: the war continued in other areas, although the heartland of the republic was no longer threatened ; this included the beginnings of the dutch colonial empire, which at the time were conceived as carrying overseas the war with spain. | Got error: Trigger word 'abc' not found in text the war continued in other areas, although the heartland of the republic was no longer threatened ; this included the beginnings of the dutch colonial empire, which at the time were conceived as carrying overseas the war with spain..
2025-04-20 17:24:28.765 | ERROR    | extractor.consumer:worker:144 - [ERROR] Worker 2 | Text: the icing caused the loss of pitch control and the aircraft entered a steep dive. | Cannot process event list: [{'text': 'the icing caused the loss of pitch control and the aircraft entered a steep dive.', 'event_type': 'meeting', 'trigger_word': 'abc', 'event_time': None, 'event_location': None, 'event_participants': []}]
2025-04-20 17:24:28.767 | ERROR    | extractor.consumer:worker:139 - [ERROR at ATTEMPT 2/3] Worker 7 | Text: this was the most serious escalation on the border since the 2006 lebanon war. | Got error: Trigger word 'abc' not found in text this was the most serious escalation on the border since the 2006 lebanon war..
2025-04-20 17:24:28.769 | ERROR    | extractor.consumer:worker:139 - [ERROR at ATTEMPT 1/3] Worker 3 | Text: napoleon arrived at hanau with reinforcements and defeated wrede ’ s forces. | Got error: Trigger word 'abc' not found in text napoleon arrived at hanau with reinforcements and defeated wrede ’ s forces..
2025-04-20 17:24:28.773 | ERROR    | extractor.consumer:worker:139 - [ERROR at ATTEMPT 1/3] Worker 4 | Text: the german defence south of the road mostly collapsed and the french had ` ` complete success ' ' on both banks of the somme, as did the british from maricourt on the army boundary, where xiii corps took montauban and reached all its objectives and xv corps captured mametz and isolated fricourt. | Got error: Trigger word 'abc' not found in text the german defence south of the road mostly collapsed and the french had ` ` complete success ' ' on both banks of the somme, as did the british from maricourt on the army boundary, where xiii corps took montauban and reached all its objectives and xv corps captured mametz and isolated fricourt..
2025-04-20 17:24:28.779 | ERROR    | extractor.consumer:worker:139 - [ERROR at ATTEMPT 1/3] Worker 9 | Text: brigadier la torre left angostura for the missions in order to reconquer the area and its resources. | Got error: Trigger word 'abc' not found in text brigadier la torre left angostura for the missions in order to reconquer the area and its resources..
2025-04-20 17:24:28.781 | ERROR    | extractor.consumer:worker:144 - [ERROR] Worker 10 | Text: on the day of the capture of sandomierz, the battle of tursko took place. | Cannot process event list: [{'text': 'on the day of the capture of sandomierz, the battle of tursko took place.', 'event_type': 'meeting', 'trigger_word': 'abc', 'event_time': None, 'event_location': None, 'event_participants': []}]
2025-04-20 17:24:28.783 | ERROR    | extractor.consumer:worker:139 - [ERROR at ATTEMPT 2/3] Worker 0 | Text: as a result of the war, the league captured and partitioned almost all remaining european territories of the ottoman empire. | Got error: Trigger word 'abc' not found in text as a result of the war, the league captured and partitioned almost all remaining european territories of the ottoman empire..
2025-04-20 17:24:28.785 | ERROR    | extractor.consumer:worker:139 - [ERROR at ATTEMPT 2/3] Worker 5 | Text: the people of machias captured additional british ships, and fought off a large force that tried to take control of the town in the battle of machias in 1777. | Got error: Trigger word 'abc' not found in text the people of machias captured additional british ships, and fought off a large force that tried to take control of the town in the battle of machias in 1777..
2025-04-20 17:24:28.786 | ERROR    | extractor.consumer:worker:144 - [ERROR] Worker 1 | Text: in the morning hours of the next day, the military regime blew up the historic rangoon university students ' union ( rusu ) building, which had been the symbol of the anti - colonial nationalism struggle since the 1920s. | Cannot process event list: [{'text': "in the morning hours of the next day, the military regime blew up the historic rangoon university students ' union ( rusu ) building, which had been the symbol of the anti - colonial nationalism struggle since the 1920s.", 'event_type': 'meeting', 'trigger_word': 'abc', 'event_time': None, 'event_location': None, 'event_participants': []}]
2025-04-20 17:24:28.790 | ERROR    | extractor.consumer:worker:139 - [ERROR at ATTEMPT 3/3] Worker 8 | Text: the ` ` eastern theater of eelam war iv ' ', the warfare started in the eastern province of sri lanka on july 21, 2006, when the ltte cut off the water supply to the rice fields in the mavil aru area in the eastern trincomalee district. | Got error: Trigger word 'abc' not found in text the ` ` eastern theater of eelam war iv ' ', the warfare started in the eastern province of sri lanka on july 21, 2006, when the ltte cut off the water supply to the rice fields in the mavil aru area in the eastern trincomalee district..
2025-04-20 17:24:28.794 | ERROR    | extractor.consumer:worker:144 - [ERROR] Worker 6 | Text: the war continued in other areas, although the heartland of the republic was no longer threatened ; this included the beginnings of the dutch colonial empire, which at the time were conceived as carrying overseas the war with spain. | Cannot process event list: [{'text': 'the war continued in other areas, although the heartland of the republic was no longer threatened ; this included the beginnings of the dutch colonial empire, which at the time were conceived as carrying overseas the war with spain.', 'event_type': 'meeting', 'trigger_word': 'abc', 'event_time': None, 'event_location': None, 'event_participants': []}]
2025-04-20 17:24:28.800 | ERROR    | extractor.consumer:worker:139 - [ERROR at ATTEMPT 1/3] Worker 2 | Text: they were drawn against turkish team besiktas in the first round, who they beat 4 – 1 over two - legs. | Got error: Trigger word 'abc' not found in text they were drawn against turkish team besiktas in the first round, who they beat 4 – 1 over two - legs..
2025-04-20 17:24:28.801 | ERROR    | extractor.consumer:worker:139 - [ERROR at ATTEMPT 3/3] Worker 7 | Text: this was the most serious escalation on the border since the 2006 lebanon war. | Got error: Trigger word 'abc' not found in text this was the most serious escalation on the border since the 2006 lebanon war..
2025-04-20 17:24:28.804 | ERROR    | extractor.consumer:worker:139 - [ERROR at ATTEMPT 2/3] Worker 3 | Text: napoleon arrived at hanau with reinforcements and defeated wrede ’ s forces. | Got error: Trigger word 'abc' not found in text napoleon arrived at hanau with reinforcements and defeated wrede ’ s forces..
2025-04-20 17:24:28.806 | ERROR    | extractor.consumer:worker:139 - [ERROR at ATTEMPT 2/3] Worker 4 | Text: the german defence south of the road mostly collapsed and the french had ` ` complete success ' ' on both banks of the somme, as did the british from maricourt on the army boundary, where xiii corps took montauban and reached all its objectives and xv corps captured mametz and isolated fricourt. | Got error: Trigger word 'abc' not found in text the german defence south of the road mostly collapsed and the french had ` ` complete success ' ' on both banks of the somme, as did the british from maricourt on the army boundary, where xiii corps took montauban and reached all its objectives and xv corps captured mametz and isolated fricourt..
2025-04-20 17:24:28.811 | ERROR    | extractor.consumer:worker:139 - [ERROR at ATTEMPT 2/3] Worker 9 | Text: brigadier la torre left angostura for the missions in order to reconquer the area and its resources. | Got error: Trigger word 'abc' not found in text brigadier la torre left angostura for the missions in order to reconquer the area and its resources..
2025-04-20 17:24:28.813 | ERROR    | extractor.consumer:worker:139 - [ERROR at ATTEMPT 1/3] Worker 10 | Text: it was the first win by a russian side in any european competition, and was even more impressive considering that the final was held at the jose alvalade stadium, the home of sporting. | Got error: Trigger word 'abc' not found in text it was the first win by a russian side in any european competition, and was even more impressive considering that the final was held at the jose alvalade stadium, the home of sporting..
2025-04-20 17:24:28.815 | ERROR    | extractor.consumer:worker:139 - [ERROR at ATTEMPT 3/3] Worker 0 | Text: as a result of the war, the league captured and partitioned almost all remaining european territories of the ottoman empire. | Got error: Trigger word 'abc' not found in text as a result of the war, the league captured and partitioned almost all remaining european territories of the ottoman empire..
2025-04-20 17:24:28.817 | ERROR    | extractor.consumer:worker:139 - [ERROR at ATTEMPT 3/3] Worker 5 | Text: the people of machias captured additional british ships, and fought off a large force that tried to take control of the town in the battle of machias in 1777. | Got error: Trigger word 'abc' not found in text the people of machias captured additional british ships, and fought off a large force that tried to take control of the town in the battle of machias in 1777..
2025-04-20 17:24:28.819 | ERROR    | extractor.consumer:worker:139 - [ERROR at ATTEMPT 1/3] Worker 1 | Text: the events were due to be held between 13 march, and 21 march 2010. | Got error: Trigger word 'abc' not found in text the events were due to be held between 13 march, and 21 march 2010..
2025-04-20 17:24:28.820 | ERROR    | extractor.consumer:worker:144 - [ERROR] Worker 8 | Text: the ` ` eastern theater of eelam war iv ' ', the warfare started in the eastern province of sri lanka on july 21, 2006, when the ltte cut off the water supply to the rice fields in the mavil aru area in the eastern trincomalee district. | Cannot process event list: [{'text': "the ` ` eastern theater of eelam war iv ' ', the warfare started in the eastern province of sri lanka on july 21, 2006, when the ltte cut off the water supply to the rice fields in the mavil aru area in the eastern trincomalee district.", 'event_type': 'meeting', 'trigger_word': 'abc', 'event_time': None, 'event_location': None, 'event_participants': []}]
2025-04-20 17:24:28.824 | ERROR    | extractor.consumer:worker:139 - [ERROR at ATTEMPT 1/3] Worker 6 | Text: the tournament was divided into three stages. | Got error: Trigger word 'abc' not found in text the tournament was divided into three stages..
2025-04-20 17:24:28.829 | ERROR    | extractor.consumer:worker:139 - [ERROR at ATTEMPT 2/3] Worker 2 | Text: they were drawn against turkish team besiktas in the first round, who they beat 4 – 1 over two - legs. | Got error: Trigger word 'abc' not found in text they were drawn against turkish team besiktas in the first round, who they beat 4 – 1 over two - legs..
2025-04-20 17:24:28.831 | ERROR    | extractor.consumer:worker:144 - [ERROR] Worker 7 | Text: this was the most serious escalation on the border since the 2006 lebanon war. | Cannot process event list: [{'text': 'this was the most serious escalation on the border since the 2006 lebanon war.', 'event_type': 'meeting', 'trigger_word': 'abc', 'event_time': None, 'event_location': None, 'event_participants': []}]
2025-04-20 17:24:28.833 | ERROR    | extractor.consumer:worker:139 - [ERROR at ATTEMPT 3/3] Worker 3 | Text: napoleon arrived at hanau with reinforcements and defeated wrede ’ s forces. | Got error: Trigger word 'abc' not found in text napoleon arrived at hanau with reinforcements and defeated wrede ’ s forces..
2025-04-20 17:24:28.835 | ERROR    | extractor.consumer:worker:139 - [ERROR at ATTEMPT 3/3] Worker 4 | Text: the german defence south of the road mostly collapsed and the french had ` ` complete success ' ' on both banks of the somme, as did the british from maricourt on the army boundary, where xiii corps took montauban and reached all its objectives and xv corps captured mametz and isolated fricourt. | Got error: Trigger word 'abc' not found in text the german defence south of the road mostly collapsed and the french had ` ` complete success ' ' on both banks of the somme, as did the british from maricourt on the army boundary, where xiii corps took montauban and reached all its objectives and xv corps captured mametz and isolated fricourt..
2025-04-20 17:24:28.837 | ERROR    | extractor.consumer:worker:139 - [ERROR at ATTEMPT 3/3] Worker 9 | Text: brigadier la torre left angostura for the missions in order to reconquer the area and its resources. | Got error: Trigger word 'abc' not found in text brigadier la torre left angostura for the missions in order to reconquer the area and its resources..
2025-04-20 17:24:28.840 | ERROR    | extractor.consumer:worker:139 - [ERROR at ATTEMPT 2/3] Worker 10 | Text: it was the first win by a russian side in any european competition, and was even more impressive considering that the final was held at the jose alvalade stadium, the home of sporting. | Got error: Trigger word 'abc' not found in text it was the first win by a russian side in any european competition, and was even more impressive considering that the final was held at the jose alvalade stadium, the home of sporting..
2025-04-20 17:24:28.844 | ERROR    | extractor.consumer:worker:144 - [ERROR] Worker 0 | Text: as a result of the war, the league captured and partitioned almost all remaining european territories of the ottoman empire. | Cannot process event list: [{'text': 'as a result of the war, the league captured and partitioned almost all remaining european territories of the ottoman empire.', 'event_type': 'meeting', 'trigger_word': 'abc', 'event_time': None, 'event_location': None, 'event_participants': []}]
2025-04-20 17:24:28.846 | ERROR    | extractor.consumer:worker:144 - [ERROR] Worker 5 | Text: the people of machias captured additional british ships, and fought off a large force that tried to take control of the town in the battle of machias in 1777. | Cannot process event list: [{'text': 'the people of machias captured additional british ships, and fought off a large force that tried to take control of the town in the battle of machias in 1777.', 'event_type': 'meeting', 'trigger_word': 'abc', 'event_time': None, 'event_location': None, 'event_participants': []}]
2025-04-20 17:24:28.848 | ERROR    | extractor.consumer:worker:139 - [ERROR at ATTEMPT 2/3] Worker 1 | Text: the events were due to be held between 13 march, and 21 march 2010. | Got error: Trigger word 'abc' not found in text the events were due to be held between 13 march, and 21 march 2010..
2025-04-20 17:24:28.850 | ERROR    | extractor.consumer:worker:139 - [ERROR at ATTEMPT 1/3] Worker 8 | Text: the group stage matches were played at the galle international stadium in galle and semi - finals and finals were played at r. premadasa stadium in colombo. | Got error: Trigger word 'abc' not found in text the group stage matches were played at the galle international stadium in galle and semi - finals and finals were played at r. premadasa stadium in colombo..
2025-04-20 17:24:28.852 | ERROR    | extractor.consumer:worker:139 - [ERROR at ATTEMPT 2/3] Worker 6 | Text: the tournament was divided into three stages. | Got error: Trigger word 'abc' not found in text the tournament was divided into three stages..
2025-04-20 17:24:28.854 | ERROR    | extractor.consumer:worker:139 - [ERROR at ATTEMPT 3/3] Worker 2 | Text: they were drawn against turkish team besiktas in the first round, who they beat 4 – 1 over two - legs. | Got error: Trigger word 'abc' not found in text they were drawn against turkish team besiktas in the first round, who they beat 4 – 1 over two - legs..
2025-04-20 17:24:28.858 | ERROR    | extractor.consumer:worker:139 - [ERROR at ATTEMPT 1/3] Worker 7 | Text: the rainfall, reaching over 17. 52 inches ( 445 mm ), caused flooding and mudslides which killed eleven people in tamaulipas. | Got error: Trigger word 'abc' not found in text the rainfall, reaching over 17. 52 inches ( 445 mm ), caused flooding and mudslides which killed eleven people in tamaulipas..
2025-04-20 17:24:28.861 | ERROR    | extractor.consumer:worker:144 - [ERROR] Worker 3 | Text: napoleon arrived at hanau with reinforcements and defeated wrede ’ s forces. | Cannot process event list: [{'text': 'napoleon arrived at hanau with reinforcements and defeated wrede ’ s forces.', 'event_type': 'meeting', 'trigger_word': 'abc', 'event_time': None, 'event_location': None, 'event_participants': []}]
2025-04-20 17:24:28.863 | ERROR    | extractor.consumer:worker:144 - [ERROR] Worker 4 | Text: the german defence south of the road mostly collapsed and the french had ` ` complete success ' ' on both banks of the somme, as did the british from maricourt on the army boundary, where xiii corps took montauban and reached all its objectives and xv corps captured mametz and isolated fricourt. | Cannot process event list: [{'text': "the german defence south of the road mostly collapsed and the french had ` ` complete success ' ' on both banks of the somme, as did the british from maricourt on the army boundary, where xiii corps took montauban and reached all its objectives and xv corps captured mametz and isolated fricourt.", 'event_type': 'meeting', 'trigger_word': 'abc', 'event_time': None, 'event_location': None, 'event_participants': []}]
2025-04-20 17:24:28.864 | ERROR    | extractor.consumer:worker:144 - [ERROR] Worker 9 | Text: brigadier la torre left angostura for the missions in order to reconquer the area and its resources. | Cannot process event list: [{'text': 'brigadier la torre left angostura for the missions in order to reconquer the area and its resources.', 'event_type': 'meeting', 'trigger_word': 'abc', 'event_time': None, 'event_location': None, 'event_participants': []}]
2025-04-20 17:24:28.867 | ERROR    | extractor.consumer:worker:139 - [ERROR at ATTEMPT 3/3] Worker 10 | Text: it was the first win by a russian side in any european competition, and was even more impressive considering that the final was held at the jose alvalade stadium, the home of sporting. | Got error: Trigger word 'abc' not found in text it was the first win by a russian side in any european competition, and was even more impressive considering that the final was held at the jose alvalade stadium, the home of sporting..
2025-04-20 17:24:28.868 | ERROR    | extractor.consumer:worker:139 - [ERROR at ATTEMPT 1/3] Worker 0 | Text: protests were ignited over plans to expand a coal - fired power plant in the town — a plan that residents opposed, arguing that existing coal - fired plants had caused environmental and health damage. | Got error: Trigger word 'abc' not found in text protests were ignited over plans to expand a coal - fired power plant in the town — a plan that residents opposed, arguing that existing coal - fired plants had caused environmental and health damage..
2025-04-20 17:24:28.870 | ERROR    | extractor.consumer:worker:139 - [ERROR at ATTEMPT 1/3] Worker 5 | Text: during this period, these southern malaysian states, along with singapore, experienced abnormally high rainfall which resulted in massive floods. | Got error: Trigger word 'abc' not found in text during this period, these southern malaysian states, along with singapore, experienced abnormally high rainfall which resulted in massive floods..
2025-04-20 17:24:28.872 | ERROR    | extractor.consumer:worker:139 - [ERROR at ATTEMPT 3/3] Worker 1 | Text: the events were due to be held between 13 march, and 21 march 2010. | Got error: Trigger word 'abc' not found in text the events were due to be held between 13 march, and 21 march 2010..
2025-04-20 17:24:28.878 | ERROR    | extractor.consumer:worker:139 - [ERROR at ATTEMPT 2/3] Worker 8 | Text: the group stage matches were played at the galle international stadium in galle and semi - finals and finals were played at r. premadasa stadium in colombo. | Got error: Trigger word 'abc' not found in text the group stage matches were played at the galle international stadium in galle and semi - finals and finals were played at r. premadasa stadium in colombo..
2025-04-20 17:24:28.883 | ERROR    | extractor.consumer:worker:139 - [ERROR at ATTEMPT 3/3] Worker 6 | Text: the tournament was divided into three stages. | Got error: Trigger word 'abc' not found in text the tournament was divided into three stages..
2025-04-20 17:24:28.884 | ERROR    | extractor.consumer:worker:144 - [ERROR] Worker 2 | Text: they were drawn against turkish team besiktas in the first round, who they beat 4 – 1 over two - legs. | Cannot process event list: [{'text': 'they were drawn against turkish team besiktas in the first round, who they beat 4 – 1 over two - legs.', 'event_type': 'meeting', 'trigger_word': 'abc', 'event_time': None, 'event_location': None, 'event_participants': []}]
2025-04-20 17:24:28.886 | ERROR    | extractor.consumer:worker:139 - [ERROR at ATTEMPT 2/3] Worker 7 | Text: the rainfall, reaching over 17. 52 inches ( 445 mm ), caused flooding and mudslides which killed eleven people in tamaulipas. | Got error: Trigger word 'abc' not found in text the rainfall, reaching over 17. 52 inches ( 445 mm ), caused flooding and mudslides which killed eleven people in tamaulipas..
2025-04-20 17:24:28.890 | ERROR    | extractor.consumer:worker:139 - [ERROR at ATTEMPT 1/3] Worker 3 | Text: the strength of the storm, coupled with the extreme arctic temperatures, created a light, fluffy snow which increased the snowfall totals. | Got error: Trigger word 'abc' not found in text the strength of the storm, coupled with the extreme arctic temperatures, created a light, fluffy snow which increased the snowfall totals..
2025-04-20 17:24:28.896 | ERROR    | extractor.consumer:worker:139 - [ERROR at ATTEMPT 1/3] Worker 4 | Text: the incident sparked outrage in india and harsh reactions by the indian army and government over the news that the body of one of the soldiers had been beheaded. | Got error: Trigger word 'abc' not found in text the incident sparked outrage in india and harsh reactions by the indian army and government over the news that the body of one of the soldiers had been beheaded..
2025-04-20 17:24:28.900 | ERROR    | extractor.consumer:worker:144 - [ERROR] Worker 10 | Text: it was the first win by a russian side in any european competition, and was even more impressive considering that the final was held at the jose alvalade stadium, the home of sporting. | Cannot process event list: [{'text': 'it was the first win by a russian side in any european competition, and was even more impressive considering that the final was held at the jose alvalade stadium, the home of sporting.', 'event_type': 'meeting', 'trigger_word': 'abc', 'event_time': None, 'event_location': None, 'event_participants': []}]
2025-04-20 17:24:28.903 | ERROR    | extractor.consumer:worker:139 - [ERROR at ATTEMPT 2/3] Worker 0 | Text: protests were ignited over plans to expand a coal - fired power plant in the town — a plan that residents opposed, arguing that existing coal - fired plants had caused environmental and health damage. | Got error: Trigger word 'abc' not found in text protests were ignited over plans to expand a coal - fired power plant in the town — a plan that residents opposed, arguing that existing coal - fired plants had caused environmental and health damage..
2025-04-20 17:24:28.907 | ERROR    | extractor.consumer:worker:139 - [ERROR at ATTEMPT 2/3] Worker 5 | Text: during this period, these southern malaysian states, along with singapore, experienced abnormally high rainfall which resulted in massive floods. | Got error: Trigger word 'abc' not found in text during this period, these southern malaysian states, along with singapore, experienced abnormally high rainfall which resulted in massive floods..
2025-04-20 17:24:28.911 | ERROR    | extractor.consumer:worker:144 - [ERROR] Worker 1 | Text: the events were due to be held between 13 march, and 21 march 2010. | Cannot process event list: [{'text': 'the events were due to be held between 13 march, and 21 march 2010.', 'event_type': 'meeting', 'trigger_word': 'abc', 'event_time': None, 'event_location': None, 'event_participants': []}]
2025-04-20 17:24:28.913 | ERROR    | extractor.consumer:worker:139 - [ERROR at ATTEMPT 3/3] Worker 8 | Text: the group stage matches were played at the galle international stadium in galle and semi - finals and finals were played at r. premadasa stadium in colombo. | Got error: Trigger word 'abc' not found in text the group stage matches were played at the galle international stadium in galle and semi - finals and finals were played at r. premadasa stadium in colombo..
2025-04-20 17:24:28.914 | ERROR    | extractor.consumer:worker:144 - [ERROR] Worker 6 | Text: the tournament was divided into three stages. | Cannot process event list: [{'text': 'the tournament was divided into three stages.', 'event_type': 'meeting', 'trigger_word': 'abc', 'event_time': None, 'event_location': None, 'event_participants': []}]
2025-04-20 17:24:28.918 | ERROR    | extractor.consumer:worker:139 - [ERROR at ATTEMPT 3/3] Worker 7 | Text: the rainfall, reaching over 17. 52 inches ( 445 mm ), caused flooding and mudslides which killed eleven people in tamaulipas. | Got error: Trigger word 'abc' not found in text the rainfall, reaching over 17. 52 inches ( 445 mm ), caused flooding and mudslides which killed eleven people in tamaulipas..
2025-04-20 17:24:28.920 | ERROR    | extractor.consumer:worker:139 - [ERROR at ATTEMPT 2/3] Worker 3 | Text: the strength of the storm, coupled with the extreme arctic temperatures, created a light, fluffy snow which increased the snowfall totals. | Got error: Trigger word 'abc' not found in text the strength of the storm, coupled with the extreme arctic temperatures, created a light, fluffy snow which increased the snowfall totals..
2025-04-20 17:24:28.925 | ERROR    | extractor.consumer:worker:139 - [ERROR at ATTEMPT 2/3] Worker 4 | Text: the incident sparked outrage in india and harsh reactions by the indian army and government over the news that the body of one of the soldiers had been beheaded. | Got error: Trigger word 'abc' not found in text the incident sparked outrage in india and harsh reactions by the indian army and government over the news that the body of one of the soldiers had been beheaded..
2025-04-20 17:24:28.931 | ERROR    | extractor.consumer:worker:139 - [ERROR at ATTEMPT 3/3] Worker 0 | Text: protests were ignited over plans to expand a coal - fired power plant in the town — a plan that residents opposed, arguing that existing coal - fired plants had caused environmental and health damage. | Got error: Trigger word 'abc' not found in text protests were ignited over plans to expand a coal - fired power plant in the town — a plan that residents opposed, arguing that existing coal - fired plants had caused environmental and health damage..
2025-04-20 17:24:28.933 | ERROR    | extractor.consumer:worker:139 - [ERROR at ATTEMPT 3/3] Worker 5 | Text: during this period, these southern malaysian states, along with singapore, experienced abnormally high rainfall which resulted in massive floods. | Got error: Trigger word 'abc' not found in text during this period, these southern malaysian states, along with singapore, experienced abnormally high rainfall which resulted in massive floods..
2025-04-20 17:24:28.935 | ERROR    | extractor.consumer:worker:144 - [ERROR] Worker 8 | Text: the group stage matches were played at the galle international stadium in galle and semi - finals and finals were played at r. premadasa stadium in colombo. | Cannot process event list: [{'text': 'the group stage matches were played at the galle international stadium in galle and semi - finals and finals were played at r. premadasa stadium in colombo.', 'event_type': 'meeting', 'trigger_word': 'abc', 'event_time': None, 'event_location': None, 'event_participants': []}]
2025-04-20 17:24:28.938 | ERROR    | extractor.consumer:worker:144 - [ERROR] Worker 7 | Text: the rainfall, reaching over 17. 52 inches ( 445 mm ), caused flooding and mudslides which killed eleven people in tamaulipas. | Cannot process event list: [{'text': 'the rainfall, reaching over 17. 52 inches ( 445 mm ), caused flooding and mudslides which killed eleven people in tamaulipas.', 'event_type': 'meeting', 'trigger_word': 'abc', 'event_time': None, 'event_location': None, 'event_participants': []}]
2025-04-20 17:24:28.944 | ERROR    | extractor.consumer:worker:139 - [ERROR at ATTEMPT 3/3] Worker 3 | Text: the strength of the storm, coupled with the extreme arctic temperatures, created a light, fluffy snow which increased the snowfall totals. | Got error: Trigger word 'abc' not found in text the strength of the storm, coupled with the extreme arctic temperatures, created a light, fluffy snow which increased the snowfall totals..
2025-04-20 17:24:28.946 | ERROR    | extractor.consumer:worker:139 - [ERROR at ATTEMPT 3/3] Worker 4 | Text: the incident sparked outrage in india and harsh reactions by the indian army and government over the news that the body of one of the soldiers had been beheaded. | Got error: Trigger word 'abc' not found in text the incident sparked outrage in india and harsh reactions by the indian army and government over the news that the body of one of the soldiers had been beheaded..
2025-04-20 17:24:28.948 | ERROR    | extractor.consumer:worker:144 - [ERROR] Worker 0 | Text: protests were ignited over plans to expand a coal - fired power plant in the town — a plan that residents opposed, arguing that existing coal - fired plants had caused environmental and health damage. | Cannot process event list: [{'text': 'protests were ignited over plans to expand a coal - fired power plant in the town — a plan that residents opposed, arguing that existing coal - fired plants had caused environmental and health damage.', 'event_type': 'meeting', 'trigger_word': 'abc', 'event_time': None, 'event_location': None, 'event_participants': []}]
2025-04-20 17:24:28.949 | ERROR    | extractor.consumer:worker:144 - [ERROR] Worker 5 | Text: during this period, these southern malaysian states, along with singapore, experienced abnormally high rainfall which resulted in massive floods. | Cannot process event list: [{'text': 'during this period, these southern malaysian states, along with singapore, experienced abnormally high rainfall which resulted in massive floods.', 'event_type': 'meeting', 'trigger_word': 'abc', 'event_time': None, 'event_location': None, 'event_participants': []}]
2025-04-20 17:24:28.953 | ERROR    | extractor.consumer:worker:144 - [ERROR] Worker 3 | Text: the strength of the storm, coupled with the extreme arctic temperatures, created a light, fluffy snow which increased the snowfall totals. | Cannot process event list: [{'text': 'the strength of the storm, coupled with the extreme arctic temperatures, created a light, fluffy snow which increased the snowfall totals.', 'event_type': 'meeting', 'trigger_word': 'abc', 'event_time': None, 'event_location': None, 'event_participants': []}]
2025-04-20 17:24:28.955 | ERROR    | extractor.consumer:worker:144 - [ERROR] Worker 4 | Text: the incident sparked outrage in india and harsh reactions by the indian army and government over the news that the body of one of the soldiers had been beheaded. | Cannot process event list: [{'text': 'the incident sparked outrage in india and harsh reactions by the indian army and government over the news that the body of one of the soldiers had been beheaded.', 'event_type': 'meeting', 'trigger_word': 'abc', 'event_time': None, 'event_location': None, 'event_participants': []}]
2025-04-20 17:24:29.325 | INFO     | extractor.consumer:pause_threads:59 - [PAUSE] All threads paused
2025-04-20 17:24:29.326 | INFO     | extractor.consumer:consume:169 - [CONSUMING] Finished consuming.
2025-04-20 17:24:29.335 | INFO     | __main__:run:85 - [FINISHED] Processing 0/240 item, remaning 240/240 in 5.15 seconds
2025-04-20 17:24:29.336 | INFO     | __main__:run:86 - [SAVE FILE] All item saved to test/output\MAVEN\perm0\MAVEN_5task_2way_5shot.train.jsonl
2025-04-20 17:24:29.337 | INFO     | extractor.consumer:resume_threads:64 - [RESUME] All threads resumed
2025-04-20 17:24:30.086 | INFO     | extractor.consumer:stop_threads:54 - [STOP] All threads stopped
2025-04-20 17:24:30.087 | INFO     | __main__:run:125 - [FINISHED] All items processed and saved to test/output
